time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1702338958376191500,284.39219140625,-0.7720959782600403,-0.013198000378906727,0.002644999884068966,0.635362982749939,-0.012690571136772633,-0.02374354749917984,1.764335036277771
1702338958475454000,284.4914538574219,-0.7720879912376404,-0.013175999745726585,0.0026420000940561295,0.6353729963302612,-0.012667533941566944,-0.02370559424161911,1.7643097639083862
1702338958574718200,284.59071826171873,-0.7720819711685181,-0.013205000199377537,0.002652999944984913,0.6353790163993835,-0.012687616050243378,-0.023764243349432945,1.7642914056777954
1702338958673979100,284.6899792480469,-0.7720789909362793,-0.01322299987077713,0.0026730000972747803,0.6353830099105835,-0.01267974078655243,-0.023817408829927444,1.7642822265625
1702338958773243100,284.7892431640625,-0.772059977054596,-0.013256000354886055,0.0026710000820457935,0.6354050040245056,-0.012725479900836945,-0.023865453898906708,1.7642226219177246
1702338958872505600,284.88850561523435,-0.7720500230789185,-0.013263000175356865,0.002707999898120761,0.6354169845581055,-0.012677614577114582,-0.023923099040985107,1.7641918659210205
1702338958971769600,284.98776953125,-0.772051990032196,-0.013252999633550644,0.0026859999634325504,0.6354140043258667,-0.012698782607913017,-0.023879721760749817,1.7641979455947876
1702338959071032000,285.0870319824219,-0.7720339894294739,-0.013279000297188759,0.002701000077649951,0.6354359984397888,-0.012709366157650948,-0.02393859066069126,1.76414155960083
1702338959170296300,285.18629638671877,-0.7720490097999573,-0.013299999758601189,0.0026990000624209642,0.6354169845581055,-0.012738573364913464,-0.023968778550624847,1.7641890048980713
1702338959269560300,285.2855603027344,-0.7720440030097961,-0.013295999728143215,0.0027119999285787344,0.6354230046272278,-0.01271359808743,-0.023979026824235916,1.7641735076904297
1702338959368822800,285.38482275390623,-0.7720239758491516,-0.013329999521374702,0.0027280000504106283,0.6354460120201111,-0.01273285411298275,-0.024051470682024956,1.764111042022705
1702338959468085200,285.48408520507815,-0.7720230221748352,-0.013313000090420246,0.002724000019952655,0.6354479789733887,-0.012717467732727528,-0.02402011677622795,1.7641078233718872
1702338959567349200,285.58334936523437,-0.7720029950141907,-0.013333000242710114,0.002705999882891774,0.6354719996452332,-0.01277144905179739,-0.024027718231081963,1.7640446424484253
1702338959666613500,285.68261352539065,-0.7719849944114685,-0.01335499994456768,0.002710999920964241,0.6354929804801941,-0.012792368419468403,-0.024067683145403862,1.7639883756637573
1702338959765874400,285.78187451171874,-0.7719550132751465,-0.013340000063180923,0.0027469999622553587,0.6355299949645996,-0.012718851678073406,-0.024089690297842026,1.7638943195343018
1702338959865138400,285.88113842773436,-0.7719550132751465,-0.01334800012409687,0.002730000065639615,0.6355299949645996,-0.012755277566611767,-0.0240804310888052,1.7638940811157227
1702338959964401000,285.98040087890627,-0.7719470262527466,-0.013371000066399574,0.0027600000612437725,0.6355389952659607,-0.01273849792778492,-0.024153931066393852,1.7638696432113647
1702338960063665000,286.0796647949219,-0.7719370126724243,-0.013360999524593353,0.002761000068858266,0.6355509757995605,-0.012724606320261955,-0.024139557033777237,1.7638381719589233
1702338960162929200,286.17892919921877,-0.7719249725341797,-0.013418000191450119,0.0027409999165683985,0.6355649828910828,-0.012828436680138111,-0.024201907217502594,1.7638001441955566
1702338960262193200,286.2781931152344,-0.771917998790741,-0.013384999707341194,0.0027729999274015427,0.6355739831924438,-0.012737330049276352,-0.02419149875640869,1.763778567314148
1702338960361454000,286.3774541015625,-0.7719079852104187,-0.013388999737799168,0.0027860000263899565,0.6355869770050049,-0.012722748331725597,-0.024214006960392,1.763746976852417
1702338960460718000,286.47671801757815,-0.771914005279541,-0.013368000276386738,0.002836999949067831,0.635578989982605,-0.01261704321950674,-0.024246543645858765,1.7637670040130615
1702338960559982000,286.5759821777344,-0.7719039916992188,-0.013368000276386738,0.0028440000023692846,0.6355909705162048,-0.012606612406671047,-0.02425524592399597,1.7637355327606201
1702338960659244500,286.6752446289062,-0.7718759775161743,-0.013411999680101871,0.002865999937057495,0.6356250047683716,-0.012629692442715168,-0.024350609630346298,1.7636479139328003
1702338960758507300,286.77450732421875,-0.7718610167503357,-0.013403000310063362,0.0028899998869746923,0.6356430053710938,-0.012581758201122284,-0.024366935715079308,1.7636011838912964
1702338960857771300,286.87377124023436,-0.7718600034713745,-0.013399999588727951,0.002901999978348613,0.6356430053710938,-0.012559419497847557,-0.02437753416597843,1.7635985612869263
1702338960957033700,286.9730336914063,-0.7718570232391357,-0.013407000340521336,0.0028909998945891857,0.6356469988822937,-0.012585431337356567,-0.024374298751354218,1.7635889053344727
1702338961056297700,287.0722976074219,-0.7718660235404968,-0.013391999527812004,0.002856000093743205,0.6356369853019714,-0.012620065361261368,-0.02430681139230728,1.7636164426803589
1702338961155560200,287.17156030273435,-0.7718499898910522,-0.013371000066399574,0.0028699999675154686,0.6356559991836548,-0.012572333216667175,-0.024291867390275,1.763566255569458
1702338961254823000,287.27082299804687,-0.7718349695205688,-0.013400999829173088,0.002865999937057495,0.635673999786377,-0.012617245316505432,-0.02433280646800995,1.763519048690796
1702338961354087000,287.3700869140625,-0.7718300223350525,-0.013415000401437283,0.0028899998869746923,0.6356800198554993,-0.012598196975886822,-0.024384845048189163,1.763503909111023
1702338961453351000,287.4693508300781,-0.7718309760093689,-0.013398000039160252,0.00292299990542233,0.6356790065765381,-0.0125255873426795,-0.024400584399700165,1.76350736618042
1702338961552613400,287.56861328125,-0.7718420028686523,-0.013377999886870384,0.0028810000512748957,0.635666012763977,-0.012564570643007755,-0.02431650646030903,1.7635412216186523
1702338961651875800,287.66787573242186,-0.7718409895896912,-0.013389999978244305,0.0029100000392645597,0.635666012763977,-0.012535070069134235,-0.024371890351176262,1.7635389566421509
1702338961751140000,287.76714013671875,-0.77183997631073,-0.013376000337302685,0.0029180001001805067,0.6356689929962158,-0.012504995800554752,-0.02436043694615364,1.7635352611541748
1702338961850402600,287.8664025878906,-0.7718240022659302,-0.013371000066399574,0.0028909998945891857,0.635686993598938,-0.012540890835225582,-0.024318058043718338,1.763485074043274
1702338961949666600,287.9656665039063,-0.7718160152435303,-0.013341999612748623,0.0029070000164210796,0.6356989741325378,-0.012479658238589764,-0.024293480440974236,1.7634594440460205
1702338962048929000,288.06492895507813,-0.7718279957771301,-0.013322999700903893,0.0028699999675154686,0.6356850266456604,-0.012512166053056717,-0.024217328056693077,1.7634962797164917
1702338962148193000,288.16419311523435,-0.771826982498169,-0.01332399994134903,0.0028669999446719885,0.6356859803199768,-0.012518100440502167,-0.024215035140514374,1.7634931802749634
1702338962247455500,288.26345556640626,-0.7718449831008911,-0.01332900021225214,0.0028800000436604023,0.6356639862060547,-0.012503703124821186,-0.024239640682935715,1.763550043106079
1702338962346719700,288.3627197265625,-0.7718459963798523,-0.013318999670445919,0.002867999952286482,0.6356620192527771,-0.012509448453783989,-0.024208955466747284,1.763553261756897
1702338962445982200,288.4619821777344,-0.7718600034713745,-0.013322999700903893,0.0028929999098181725,0.6356459856033325,-0.01247543003410101,-0.02424720488488674,1.7635974884033203
1702338962545246200,288.56124609375,-0.7718719840049744,-0.013326000422239304,0.0028699999675154686,0.6356310248374939,-0.01251428946852684,-0.02422282285988331,1.7636348009109497
1702338962644508700,288.6605087890625,-0.7718709707260132,-0.013311999849975109,0.002893999917432666,0.6356329917907715,-0.012459482997655869,-0.02423170767724514,1.763631820678711
1702338962743771100,288.7597712402344,-0.7718780040740967,-0.013275999575853348,0.00291600008495152,0.6356239914894104,-0.012379436753690243,-0.024204228073358536,1.7636544704437256
1702338962843035400,288.8590354003906,-0.771884024143219,-0.013271999545395374,0.0029700000304728746,0.6356170177459717,-0.012290753424167633,-0.024266835302114487,1.763674259185791
1702338962942297900,288.9582978515625,-0.7718690037727356,-0.013263000175356865,0.002983999904245138,0.6356350183486938,-0.012258256785571575,-0.024270450696349144,1.763627290725708
1702338963041561900,289.05756176757814,-0.7718719840049744,-0.013257999904453754,0.002980999881401658,0.6356310248374939,-0.012256404384970665,-0.024258967489004135,1.763636589050293
1702338963140824300,289.15682421875,-0.7718610167503357,-0.01329100038856268,0.0029899999499320984,0.6356440186500549,-0.012284902855753899,-0.024321159347891808,1.763602375984192
1702338963240088300,289.25608837890627,-0.7718650102615356,-0.013300999999046326,0.003002000041306019,0.6356390118598938,-0.01227894052863121,-0.0243519376963377,1.7636152505874634
1702338963339351000,289.35535107421873,-0.7718809843063354,-0.013294000178575516,0.0029780000913888216,0.6356199979782104,-0.012306489050388336,-0.024310920387506485,1.7636650800704956
1702338963438615000,289.45461499023435,-0.771888017654419,-0.013283000327646732,0.0029529999010264874,0.6356120109558105,-0.012330841273069382,-0.024262282997369766,1.7636866569519043
1702338963537877500,289.55387744140626,-0.7718920111656189,-0.013296999968588352,0.0029539999086409807,0.6356059908866882,-0.012346921488642693,-0.024285243824124336,1.7636995315551758
1702338963637140000,289.6531398925781,-0.7718920111656189,-0.013278000056743622,0.002957999939098954,0.6356059908866882,-0.012316576205193996,-0.0242609903216362,1.7636995315551758
1702338963736404000,289.7524040527344,-0.7718799710273743,-0.013275000266730785,0.002948000095784664,0.6356220245361328,-0.012328694574534893,-0.024243416264653206,1.7636610269546509
1702338963835666400,289.85166650390624,-0.7718809843063354,-0.013287999667227268,0.002942000050097704,0.6356210112571716,-0.012354464270174503,-0.02425588108599186,1.7636641263961792
