time,seconds_elapsed,y,z,x
1702338873301890600,179.138890625,-27,46,-39
1702338873402138400,179.2391384277344,-28,45,-38
1702338873500563000,179.33756298828126,-28,44,-38
1702338873601993700,179.43899365234375,-27,45,-38
1702338873702063400,179.5390634765625,-28,45,-38
1702338873800572000,179.63757202148437,-27,46,-38
1702338873902019600,179.73901953125,-27,45,-38
1702338874000633000,179.8376330566406,-28,44,-38
1702338874100486100,179.93748608398437,-28,44,-38
1702338874200512500,180.03751245117186,-28,46,-38
1702338874302157800,180.13915771484375,-27,45,-38
1702338874402190000,180.23919018554687,-28,45,-38
1702338874501364500,180.33836450195312,-28,46,-38
1702338874601985800,180.43898583984375,-27,45,-38
1702338874702094800,180.5390947265625,-28,46,-37
1702338874801915100,180.6389150390625,-28,46,-38
1702338874901996500,180.73899658203126,-28,45,-38
1702338875000648700,180.83764868164062,-28,44,-37
1702338875100493600,180.93749365234376,-28,45,-38
1702338875200938000,181.03793798828124,-28,46,-38
1702338875300558300,181.13755834960938,-28,44,-37
1702338875402107400,181.239107421875,-27,45,-38
1702338875502176000,181.33917602539063,-28,45,-38
1702338875601065000,181.43806494140625,-28,45,-38
1702338875701871000,181.53887109375,-28,45,-38
1702338875802171100,181.63917114257814,-28,45,-37
1702338875900766700,181.7377666015625,-28,45,-38
1702338876000850200,181.83785009765626,-28,47,-38
1702338876100483800,181.93748388671875,-28,46,-38
1702338876200484000,182.03748413085938,-27,46,-37
1702338876301094400,182.13809448242188,-27,46,-37
1702338876401982200,182.23898217773439,-28,44,-38
1702338876502128000,182.33912817382813,-28,45,-38
1702338876602104800,182.43910473632812,-27,45,-37
1702338876701285400,182.53828540039063,-27,44,-37
1702338876801923300,182.63892333984376,-28,45,-37
1702338876902088400,182.73908837890625,-27,45,-38
1702338877000672300,182.83767236328126,-28,45,-37
1702338877100526000,182.93752612304687,-28,45,-38
1702338877200533200,183.037533203125,-28,45,-38
1702338877300553200,183.13755322265624,-28,46,-38
1702338877402135800,183.2391357421875,-28,45,-37
1702338877500990700,183.33799072265626,-28,46,-37
1702338877601919500,183.43891943359375,-28,45,-37
1702338877702156300,183.53915625,-28,45,-38
1702338877800730600,183.63773071289063,-28,47,-38
1702338877901877200,183.73887719726562,-28,47,-38
1702338878000673800,183.837673828125,-28,47,-38
1702338878100497700,183.93749755859375,-28,47,-38
1702338878201329700,184.03832958984376,-28,47,-37
1702338878300496000,184.13749584960937,-28,47,-38
1702338878400563000,184.23756298828124,-28,47,-38
1702338878501345000,184.33834497070313,-28,47,-38
1702338878602426600,184.43942651367186,-28,47,-38
1702338878702017300,184.53901733398436,-28,47,-39
1702338878800561000,184.63756079101563,-28,48,-38
1702338878901760000,184.73876000976563,-28,47,-38
1702338879005129500,184.84212939453124,-28,47,-38
1702338879100502000,184.937501953125,-28,46,-38
1702338879200495000,185.0374951171875,-28,46,-39
1702338879300485000,185.13748510742187,-28,46,-38
1702338879401182200,185.23818212890626,-28,48,-38
1702338879501882400,185.33888232421876,-28,47,-38
1702338879602102500,185.4391025390625,-28,47,-38
1702338879701664300,185.5386643066406,-28,47,-38
1702338879802008300,185.63900830078126,-28,47,-38
1702338879900559600,185.7375595703125,-28,47,-38
1702338880000644900,185.83764477539063,-27,46,-38
1702338880100513300,185.93751318359375,-27,46,-38
1702338880200499200,186.0374992675781,-27,47,-38
1702338880300962000,186.13796215820312,-28,47,-37
1702338880402232600,186.23923266601562,-28,45,-37
1702338880502098400,186.33909838867189,-27,48,-37
1702338880601021400,186.438021484375,-27,47,-37
1702338880701909500,186.53890942382813,-28,47,-37
1702338880802050300,186.63905029296876,-28,47,-38
1702338880900566800,186.73756689453126,-28,47,-38
1702338881000610600,186.83761059570313,-28,47,-38
1702338881100539100,186.9375390625,-28,47,-38
1702338881200498400,187.03749853515626,-28,47,-38
1702338881300548400,187.13754833984376,-28,47,-38
1702338881402061300,187.23906127929686,-27,47,-38
1702338881500566500,187.33756640625,-28,47,-38
1702338881601858600,187.4388586425781,-28,47,-38
1702338881702154800,187.53915478515626,-28,48,-37
1702338881800679000,187.63767895507812,-27,47,-38
1702338881901852200,187.73885205078125,-27,47,-37
1702338882000664600,187.83766455078126,-27,48,-38
1702338882100488700,187.93748876953126,-28,46,-37
1702338882200734700,188.03773461914062,-28,46,-38
1702338882301837300,188.13883740234374,-28,46,-38
1702338882401989000,188.23898901367187,-28,47,-37
1702338882500571400,188.3375712890625,-28,47,-38
1702338882600589300,188.43758935546876,-28,47,-38
1702338882702051300,188.53905126953126,-28,47,-38
1702338882800571400,188.6375712890625,-28,45,-38
1702338882901921300,188.73892138671874,-27,46,-38
1702338883000714200,188.83771435546876,-28,46,-38
1702338883100492500,188.93749243164064,-28,47,-38
1702338883202007000,189.03900708007814,-28,47,-38
1702338883301617000,189.13861694335938,-29,47,-38
1702338883402153200,189.2391533203125,-28,47,-38
1702338883502112500,189.33911254882813,-28,46,-37
1702338883600793300,189.43779345703126,-28,46,-38
1702338883702007300,189.53900732421874,-28,47,-38
1702338883802049300,189.63904931640624,-28,47,-38
1702338883901827600,189.73882763671875,-28,46,-38
1702338884000682200,189.83768212890624,-28,47,-38
1702338884100486100,189.93748608398437,-28,48,-38
1702338884200489700,190.03748974609374,-28,47,-38
1702338884302367700,190.13936767578124,-28,47,-38
1702338884402027500,190.23902758789063,-27,47,-38
1702338884500563500,190.3375634765625,-28,47,-38
1702338884602087200,190.43908715820314,-28,47,-38
1702338884702115000,190.53911499023437,-28,47,-38
1702338884801821400,190.63882153320313,-28,47,-38
1702338884902113500,190.73911352539062,-28,46,-38
1702338885000678100,190.83767822265625,-28,47,-38
1702338885100490200,190.937490234375,-28,47,-38
1702338885201330200,191.038330078125,-28,47,-38
1702338885300561400,191.1375615234375,-28,47,-38
1702338885402192400,191.2391923828125,-28,47,-38
1702338885502062800,191.33906274414062,-29,46,-37
1702338885601136600,191.43813671875,-29,47,-38
1702338885701886200,191.53888623046876,-28,47,-38
1702338885802106400,191.6391064453125,-28,46,-38
1702338885900977700,191.73797778320312,-28,49,-38
1702338886000670200,191.8376701660156,-28,46,-38
